,date,area,average_price,code,houses_sold,no_of_crimes,borough_flag
0,1998-04-01,south east,83176,E09000012,-,-,0
1,1998-04-01,south east,83176,E12000008,15354.0,-,0
2,1995-01-01,south east,64019,E12000008,8809.0,-,0
3,1995-02-01,south east,63715,E12000008,8658.0,-,0
4,1995-03-01,south east,64114,E12000008,12177.0,-,0
5,1995-04-01,south east,64623,E12000008,10941.0,-,0
6,1995-05-01,south east,64530,E12000008,11975.0,-,0
7,1995-06-01,south east,65511,E12000008,13288.0,-,0
8,1995-07-01,south east,65225,E12000008,12565.0,-,0
9,1995-08-01,south east,64852,E12000008,13609.0,-,0
10,1995-09-01,south east,64352,E12000008,12698.0,-,0
11,1995-10-01,south east,64126,E12000008,11356.0,-,0
12,1995-11-01,south east,64416,E12000008,11978.0,-,0
13,1995-12-01,south east,64261,E12000008,12709.0,-,0
14,1996-01-01,south east,64057,E12000008,9177.0,-,0
15,1996-02-01,south east,63770,E12000008,9578.0,-,0
16,1996-03-01,south east,63809,E12000008,12633.0,-,0
17,1996-04-01,south east,64985,E12000008,12717.0,-,0
18,1996-05-01,south east,65344,E12000008,15061.0,-,0
19,1996-06-01,south east,65927,E12000008,14394.0,-,0
20,1996-07-01,south east,67001,E12000008,16827.0,-,0
21,1996-08-01,south east,67333,E12000008,18222.0,-,0
22,1996-09-01,south east,67196,E12000008,15466.0,-,0
23,1996-10-01,south east,67133,E12000008,16666.0,-,0
24,1996-11-01,south east,67967,E12000008,17864.0,-,0
25,1996-12-01,south east,68772,E12000008,16879.0,-,0
26,1997-01-01,south east,69008,E12000008,12740.0,-,0
27,1997-02-01,south east,69675,E12000008,12766.0,-,0
28,1997-03-01,south east,70721,E12000008,14336.0,-,0
29,1997-04-01,south east,71955,E12000008,15424.0,-,0
30,1997-05-01,south east,73359,E12000008,17982.0,-,0
31,1997-06-01,south east,74440,E12000008,18465.0,-,0
32,1997-07-01,south east,75787,E12000008,20417.0,-,0
33,1997-08-01,south east,77465,E12000008,19489.0,-,0
34,1997-09-01,south east,78067,E12000008,17515.0,-,0
35,1997-10-01,south east,79067,E12000008,18388.0,-,0
36,1997-11-01,south east,79955,E12000008,15626.0,-,0
37,1997-12-01,south east,79839,E12000008,16565.0,-,0
38,1998-01-01,south east,79976,E12000008,11473.0,-,0
39,1998-02-01,south east,80218,E12000008,11684.0,-,0
40,1998-03-01,south east,81185,E12000008,14261.0,-,0
41,1998-05-01,south east,83993,E12000008,16549.0,-,0
42,1998-06-01,south east,85019,E12000008,17473.0,-,0
43,1998-07-01,south east,85994,E12000008,19943.0,-,0
44,1998-08-01,south east,86862,E12000008,17256.0,-,0
45,1998-09-01,south east,86723,E12000008,16286.0,-,0
46,1998-10-01,south east,86847,E12000008,15879.0,-,0
47,1998-11-01,south east,86952,E12000008,15087.0,-,0
48,1998-12-01,south east,86784,E12000008,15235.0,-,0
49,1999-01-01,south east,87346,E12000008,11624.0,-,0
50,1999-02-01,south east,87443,E12000008,11441.0,-,0
51,1999-03-01,south east,88024,E12000008,15704.0,-,0
52,1999-04-01,south east,89754,E12000008,16834.0,-,0
53,1999-05-01,south east,90801,E12000008,16679.0,-,0
54,1999-06-01,south east,92489,E12000008,19649.0,-,0
55,1999-07-01,south east,94135,E12000008,22919.0,-,0
56,1999-08-01,south east,96538,E12000008,21391.0,-,0
57,1999-09-01,south east,99137,E12000008,19630.0,-,0
58,1999-10-01,south east,99999,E12000008,19969.0,-,0
59,1999-11-01,south east,101397,E12000008,19315.0,-,0
60,1999-12-01,south east,103346,E12000008,18718.0,-,0
61,2000-01-01,south east,104358,E12000008,12412.0,-,0
62,2000-02-01,south east,104721,E12000008,13316.0,-,0
63,2000-03-01,south east,107765,E12000008,17221.0,-,0
64,2000-04-01,south east,111947,E12000008,16217.0,-,0
65,2000-05-01,south east,113099,E12000008,16699.0,-,0
66,2000-06-01,south east,115640,E12000008,18898.0,-,0
67,2000-07-01,south east,116597,E12000008,17194.0,-,0
68,2000-08-01,south east,118743,E12000008,16616.0,-,0
69,2000-09-01,south east,118166,E12000008,14783.0,-,0
70,2000-10-01,south east,118370,E12000008,14105.0,-,0
71,2000-11-01,south east,117929,E12000008,14326.0,-,0
72,2000-12-01,south east,118983,E12000008,15570.0,-,0
73,2001-01-01,south east,118668,E12000008,11592.0,-,0
74,2001-02-01,south east,119198,E12000008,11954.0,-,0
75,2001-03-01,south east,120770,E12000008,15488.0,-,0
76,2001-04-01,south east,123754,E12000008,16149.0,-,0
77,2001-05-01,south east,125086,E12000008,18174.0,-,0
78,2001-06-01,south east,127693,E12000008,20497.0,-,0
79,2001-07-01,south east,129751,E12000008,20908.0,-,0
80,2001-08-01,south east,131743,E12000008,22886.0,-,0
81,2001-09-01,south east,132693,E12000008,17634.0,-,0
82,2001-10-01,south east,134038,E12000008,18710.0,-,0
83,2001-11-01,south east,135285,E12000008,18551.0,-,0
84,2001-12-01,south east,136468,E12000008,16197.0,-,0
85,2002-01-01,south east,137154,E12000008,12444.0,-,0
86,2002-02-01,south east,136801,E12000008,13195.0,-,0
87,2002-03-01,south east,139425,E12000008,17178.0,-,0
88,2002-04-01,south east,141861,E12000008,17711.0,-,0
89,2002-05-01,south east,146013,E12000008,23418.0,-,0
90,2002-06-01,south east,149123,E12000008,18724.0,-,0
91,2002-07-01,south east,153199,E12000008,23206.0,-,0
92,2002-08-01,south east,157672,E12000008,23217.0,-,0
93,2002-09-01,south east,159843,E12000008,18618.0,-,0
94,2002-10-01,south east,162290,E12000008,18736.0,-,0
95,2002-11-01,south east,164980,E12000008,18555.0,-,0
96,2002-12-01,south east,166939,E12000008,17777.0,-,0
97,2003-01-01,south east,169024,E12000008,13737.0,-,0
98,2003-02-01,south east,169132,E12000008,12777.0,-,0
99,2003-03-01,south east,170871,E12000008,12762.0,-,0
100,2003-04-01,south east,172240,E12000008,13692.0,-,0
101,2003-05-01,south east,173815,E12000008,14970.0,-,0
102,2003-06-01,south east,175525,E12000008,15071.0,-,0
103,2003-07-01,south east,177245,E12000008,17457.0,-,0
104,2003-08-01,south east,177730,E12000008,18329.0,-,0
105,2003-09-01,south east,176384,E12000008,18160.0,-,0
106,2003-10-01,south east,179187,E12000008,20081.0,-,0
107,2003-11-01,south east,180240,E12000008,19055.0,-,0
108,2003-12-01,south east,180699,E12000008,20275.0,-,0
109,2004-01-01,south east,182139,E12000008,15524.0,-,0
110,2004-02-01,south east,183091,E12000008,14951.0,-,0
111,2004-03-01,south east,184545,E12000008,16856.0,-,0
112,2004-04-01,south east,186611,E12000008,19484.0,-,0
113,2004-05-01,south east,189893,E12000008,18081.0,-,0
114,2004-06-01,south east,192250,E12000008,20246.0,-,0
115,2004-07-01,south east,194728,E12000008,21788.0,-,0
116,2004-08-01,south east,198248,E12000008,19631.0,-,0
117,2004-09-01,south east,197736,E12000008,16683.0,-,0
118,2004-10-01,south east,197557,E12000008,15377.0,-,0
119,2004-11-01,south east,199497,E12000008,13754.0,-,0
120,2004-12-01,south east,197794,E12000008,13851.0,-,0
121,2005-01-01,south east,195620,E12000008,9243.0,-,0
122,2005-02-01,south east,196482,E12000008,9441.0,-,0
123,2005-03-01,south east,196494,E12000008,11332.0,-,0
124,2005-04-01,south east,197998,E12000008,13136.0,-,0
125,2005-05-01,south east,198849,E12000008,13834.0,-,0
126,2005-06-01,south east,199220,E12000008,16154.0,-,0
127,2005-07-01,south east,200336,E12000008,16990.0,-,0
128,2005-08-01,south east,200950,E12000008,16820.0,-,0
129,2005-09-01,south east,201181,E12000008,16735.0,-,0
130,2005-10-01,south east,199322,E12000008,15508.0,-,0
131,2005-11-01,south east,200577,E12000008,16303.0,-,0
132,2005-12-01,south east,200784,E12000008,18119.0,-,0
133,2006-01-01,south east,201252,E12000008,13048.0,-,0
134,2006-02-01,south east,201878,E12000008,13361.0,-,0
135,2006-03-01,south east,202726,E12000008,17079.0,-,0
136,2006-04-01,south east,205285,E12000008,15992.0,-,0
137,2006-05-01,south east,208458,E12000008,17990.0,-,0
138,2006-06-01,south east,209556,E12000008,21344.0,-,0
139,2006-07-01,south east,211719,E12000008,20373.0,-,0
140,2006-08-01,south east,213017,E12000008,22478.0,-,0
141,2006-09-01,south east,214854,E12000008,20639.0,-,0
142,2006-10-01,south east,214634,E12000008,19698.0,-,0
143,2006-11-01,south east,216507,E12000008,19570.0,-,0
144,2006-12-01,south east,219389,E12000008,20999.0,-,0
145,2007-01-01,south east,220546,E12000008,15462.0,-,0
146,2007-02-01,south east,219879,E12000008,14947.0,-,0
147,2007-03-01,south east,221581,E12000008,17562.0,-,0
148,2007-04-01,south east,225548,E12000008,15898.0,-,0
149,2007-05-01,south east,230061,E12000008,18656.0,-,0
150,2007-06-01,south east,231684,E12000008,21237.0,-,0
151,2007-07-01,south east,235796,E12000008,20581.0,-,0
152,2007-08-01,south east,236007,E12000008,22453.0,-,0
153,2007-09-01,south east,238302,E12000008,17077.0,-,0
154,2007-10-01,south east,238845,E12000008,18164.0,-,0
155,2007-11-01,south east,238670,E12000008,17067.0,-,0
156,2007-12-01,south east,237099,E12000008,13779.0,-,0
157,2008-01-01,south east,235300,E12000008,9842.0,-,0
158,2008-02-01,south east,231825,E12000008,10386.0,-,0
159,2008-03-01,south east,232495,E12000008,9643.0,-,0
160,2008-04-01,south east,230863,E12000008,10465.0,-,0
161,2008-05-01,south east,232076,E12000008,11241.0,-,0
162,2008-06-01,south east,229212,E12000008,10213.0,-,0
163,2008-07-01,south east,227808,E12000008,9011.0,-,0
164,2008-08-01,south east,220523,E12000008,8965.0,-,0
165,2008-09-01,south east,215167,E12000008,7326.0,-,0
166,2008-10-01,south east,209022,E12000008,7821.0,-,0
167,2008-11-01,south east,203088,E12000008,6293.0,-,0
168,2008-12-01,south east,200350,E12000008,7110.0,-,0
169,2009-01-01,south east,194568,E12000008,5129.0,-,0
170,2009-02-01,south east,191720,E12000008,4907.0,-,0
171,2009-03-01,south east,191156,E12000008,6482.0,-,0
172,2009-04-01,south east,193112,E12000008,7214.0,-,0
173,2009-05-01,south east,196756,E12000008,8509.0,-,0
174,2009-06-01,south east,199318,E12000008,10151.0,-,0
175,2009-07-01,south east,202557,E12000008,12207.0,-,0
176,2009-08-01,south east,206729,E12000008,11294.0,-,0
177,2009-09-01,south east,209426,E12000008,11320.0,-,0
178,2009-10-01,south east,210508,E12000008,12281.0,-,0
179,2009-11-01,south east,212153,E12000008,11681.0,-,0
180,2009-12-01,south east,211679,E12000008,14941.0,-,0
181,2010-01-01,south east,217936,E12000008,6601.0,-,0
182,2010-02-01,south east,217339,E12000008,8008.0,-,0
183,2010-03-01,south east,216665,E12000008,9308.0,-,0
184,2010-04-01,south east,218270,E12000008,9428.0,-,0
185,2010-05-01,south east,220434,E12000008,9441.0,-,0
186,2010-06-01,south east,222047,E12000008,11478.0,-,0
187,2010-07-01,south east,224554,E12000008,12572.0,-,0
188,2010-08-01,south east,224123,E12000008,11769.0,-,0
189,2010-09-01,south east,224587,E12000008,10823.0,-,0
190,2010-10-01,south east,221298,E12000008,10583.0,-,0
191,2010-11-01,south east,219815,E12000008,10240.0,-,0
192,2010-12-01,south east,218657,E12000008,10343.0,-,0
193,2011-01-01,south east,216680,E12000008,6847.0,-,0
194,2011-02-01,south east,217190,E12000008,7278.0,-,0
195,2011-03-01,south east,215778,E12000008,8146.0,-,0
196,2011-04-01,south east,218178,E12000008,9007.0,-,0
197,2011-05-01,south east,218577,E12000008,8827.0,-,0
198,2011-06-01,south east,219162,E12000008,10180.0,-,0
199,2011-07-01,south east,222005,E12000008,11588.0,-,0
200,2011-08-01,south east,220344,E12000008,12033.0,-,0
201,2011-09-01,south east,221239,E12000008,11957.0,-,0
202,2011-10-01,south east,218309,E12000008,10459.0,-,0
